RDF graph,Max cost,Pruning?,Rules,Dataset,Query,Average query generation time (s),Full tree exploration time (s),Generated queries (s)
Henri Poincaré correspondence corpus,10.0,Yes,10,http://localhost:3030/full_ahp_corpus,"#Les lettres envoyées par Henri Poincaré à Gosta Mittag-Leffler qui citent Charles Hermitte ayant pour thème la géométrie
PREFIX ahpo: <http://e-hp.ahp-numerique.fr/ahpo#>
PREFIX dcterms: <http://purl.org/dc/terms/>

SELECT ?l 
WHERE {
    ?l ahpo:sentBy <http://henripoincare.fr/api/items/843> .
    ?l ahpo:sentTo <http://henripoincare.fr/api/items/452> .
    ?l ahpo:citeName <http://henripoincare.fr/api/items/333> .
    ?l dcterms:subject ""Géométrie""
}",0.8523611666666667,6.4644073,6
Henri Poincaré correspondence corpus,3.0,Yes,10,http://localhost:3030/full_ahp_corpus,"#Les lettres envoyées par Henri Poincaré à Gosta Mittag-Leffler qui citent Charles Hermitte ayant pour thème la géométrie
PREFIX ahpo: <http://e-hp.ahp-numerique.fr/ahpo#>
PREFIX dcterms: <http://purl.org/dc/terms/>

SELECT ?l 
WHERE {
    ?l ahpo:sentBy <http://henripoincare.fr/api/items/843> .
    ?l ahpo:sentTo <http://henripoincare.fr/api/items/452> .
    ?l ahpo:citeName <http://henripoincare.fr/api/items/333> .
    ?l dcterms:subject ""Géométrie""
}",0.0919485,0.2198381,2
Henri Poincaré correspondence corpus,5.0,Yes,10,http://localhost:3030/full_ahp_corpus,"#Les lettres envoyées par Henri Poincaré à Gosta Mittag-Leffler qui citent Charles Hermitte ayant pour thème la géométrie
PREFIX ahpo: <http://e-hp.ahp-numerique.fr/ahpo#>
PREFIX dcterms: <http://purl.org/dc/terms/>

SELECT ?l 
WHERE {
    ?l ahpo:sentBy <http://henripoincare.fr/api/items/843> .
    ?l ahpo:sentTo <http://henripoincare.fr/api/items/452> .
    ?l ahpo:citeName <http://henripoincare.fr/api/items/333> .
    ?l dcterms:subject ""Géométrie""
}",0.21036783333333334,1.2901728,6
Henri Poincaré correspondence corpus,20.0,Yes,10,http://localhost:3030/full_ahp_corpus,"#Les lettres envoyées par Henri Poincaré à Gosta Mittag-Leffler qui citent Charles Hermitte ayant pour thème la géométrie
PREFIX ahpo: <http://e-hp.ahp-numerique.fr/ahpo#>
PREFIX dcterms: <http://purl.org/dc/terms/>

SELECT ?l 
WHERE {
    ?l ahpo:sentBy <http://henripoincare.fr/api/items/843> .
    ?l ahpo:sentTo <http://henripoincare.fr/api/items/452> .
    ?l ahpo:citeName <http://henripoincare.fr/api/items/333> .
    ?l dcterms:subject ""Géométrie""
}",0.20409616666666666,1.2505195,6
Henri Poincaré correspondence corpus,2.147483647E9,Yes,10,http://localhost:3030/full_ahp_corpus,"#Les lettres envoyées par Henri Poincaré à Gosta Mittag-Leffler qui citent Charles Hermitte ayant pour thème la géométrie
PREFIX ahpo: <http://e-hp.ahp-numerique.fr/ahpo#>
PREFIX dcterms: <http://purl.org/dc/terms/>

SELECT ?l 
WHERE {
    ?l ahpo:sentBy <http://henripoincare.fr/api/items/843> .
    ?l ahpo:sentTo <http://henripoincare.fr/api/items/452> .
    ?l ahpo:citeName <http://henripoincare.fr/api/items/333> .
    ?l dcterms:subject ""Géométrie""
}",0.17529866666666669,1.837542,6
Henri Poincaré correspondence corpus,10.0,Yes,2,http://localhost:3030/full_ahp_corpus,"#Les lettres envoyées par Henri Poincaré à Gosta Mittag-Leffler qui citent Charles Hermitte ayant pour thème la géométrie
PREFIX ahpo: <http://e-hp.ahp-numerique.fr/ahpo#>
PREFIX dcterms: <http://purl.org/dc/terms/>

SELECT ?l 
WHERE {
    ?l ahpo:sentBy <http://henripoincare.fr/api/items/843> .
    ?l ahpo:sentTo <http://henripoincare.fr/api/items/452> .
    ?l ahpo:citeName <http://henripoincare.fr/api/items/333> .
    ?l dcterms:subject ""Géométrie""
}",0.0,0.119892,0
Henri Poincaré correspondence corpus,10.0,Yes,5,http://localhost:3030/full_ahp_corpus,"#Les lettres envoyées par Henri Poincaré à Gosta Mittag-Leffler qui citent Charles Hermitte ayant pour thème la géométrie
PREFIX ahpo: <http://e-hp.ahp-numerique.fr/ahpo#>
PREFIX dcterms: <http://purl.org/dc/terms/>

SELECT ?l 
WHERE {
    ?l ahpo:sentBy <http://henripoincare.fr/api/items/843> .
    ?l ahpo:sentTo <http://henripoincare.fr/api/items/452> .
    ?l ahpo:citeName <http://henripoincare.fr/api/items/333> .
    ?l dcterms:subject ""Géométrie""
}",0.11929645454545454,1.4767168,11
Henri Poincaré correspondence corpus,10.0,Yes,14,http://localhost:3030/full_ahp_corpus,"#Les lettres envoyées par Henri Poincaré à Gosta Mittag-Leffler qui citent Charles Hermitte ayant pour thème la géométrie
PREFIX ahpo: <http://e-hp.ahp-numerique.fr/ahpo#>
PREFIX dcterms: <http://purl.org/dc/terms/>

SELECT ?l 
WHERE {
    ?l ahpo:sentBy <http://henripoincare.fr/api/items/843> .
    ?l ahpo:sentTo <http://henripoincare.fr/api/items/452> .
    ?l ahpo:citeName <http://henripoincare.fr/api/items/333> .
    ?l dcterms:subject ""Géométrie""
}",0.1464302857142857,1.489626,7
DBpedia,10.0,Yes,6,https://dbpedia.org/sparql,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX foaf: <http://xmlns.com/foaf/0.1/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 

SELECT ?country ?city ?city_name
WHERE {
    ?city rdf:type dbo:City ;
          foaf:name ?city_name ;
          dbo:country ?country .

    ?country foaf:name ""Canada""@en .

    FILTER(langMatches(lang(?city_name), ""en""))
}",1.0706057,11.6623944,10
Henri Poincaré correspondence corpus,10.0,Yes,10,http://localhost:3030/full_ahp_corpus,#Les lettres envoyées par Henri Poincaré PREFIX ahpo: <http://e-hp.ahp-numerique.fr/ahpo#>  SELECT ?l ?dest WHERE {     ?l ahpo:sentBy <http://henripoincare.fr/api/items/843> .     ?l ahpo:sentTo ?dest .  }  ,0.2298395,1.3119702,4
